"Has the hygiene seal been broken after delivery?","Has the hygiene seal been broken after delivery?"
"Has the original software / media seal been broken after delivery?","Has the original software / media seal been broken after delivery?"
"No, the seal is intact","No, the seal is intact"
"Refund possible — return the unopened package.","Refund possible — return the unopened package."
"Yes, the seal is broken","Yes, the seal is broken"
"This item cannot be returned (Art. 16(e) Directive 2011/83/EU).","This item cannot be returned (Art. 16(e) Directive 2011/83/EU)."
"This item cannot be returned (Art. 16(i) Directive 2011/83/EU).","This item cannot be returned (Art. 16(i) Directive 2011/83/EU)."
"Once you confirm the seal is broken, this item is excluded from the withdrawal request and the quantity will be reset to zero.","Once you confirm the seal is broken, this item is excluded from the withdrawal request and the quantity will be reset to zero."
"Reason for return (optional)","Reason for return (optional)"
"Tell us more (optional, max 500 chars)","Tell us more (optional, max 500 chars)"
"Already returned.","Already returned."
"awaiting admin review","awaiting admin review"
"awaiting confirmation","awaiting confirmation"
"Request %1 %2 (%3 item%4).","Request %1 %2 (%3 item%4)."
"Return request awaiting review.","Return request awaiting review."
"Cancel request","Cancel request"
"Under EU consumer law, you may withdraw from most contracts within 14 days without giving a reason.","Under EU consumer law, you may withdraw from most contracts within 14 days without giving a reason."
"Read your full pre-contract rights (Art. 6)","Read your full pre-contract rights (Art. 6)"
"Under Art. 6 of Directive 2011/83/EU (as amended by Directive (EU) 2023/2673), before you placed this order the seller informed you — or made available — the following information:","Under Art. 6 of Directive 2011/83/EU (as amended by Directive (EU) 2023/2673), before you placed this order the seller informed you — or made available — the following information:"
"The main characteristics of the goods or services.","The main characteristics of the goods or services."
"The identity and contact details of the trader.","The identity and contact details of the trader."
"The total price including all taxes and any delivery costs.","The total price including all taxes and any delivery costs."
"The arrangements for payment, delivery and performance, and complaint-handling.","The arrangements for payment, delivery and performance, and complaint-handling."
"Your right of withdrawal: under Art. 9 you have 14 days to withdraw from this distance contract without giving a reason. For physical goods, the 14-day period starts on the day you (or a third party nominated by you) take physical possession of the goods. For services and digital content, different starting dates apply (Art. 9(2)(a)/(c)).","Your right of withdrawal: under Art. 9 you have 14 days to withdraw from this distance contract without giving a reason. For physical goods, the 14-day period starts on the day you (or a third party nominated by you) take physical possession of the goods. For services and digital content, different starting dates apply (Art. 9(2)(a)/(c))."
"Exceptions: the right does not apply to certain goods and services listed in Art. 16 (e.g., custom-made goods, sealed hygiene items once unsealed, digital content whose performance has begun with your prior express consent and acknowledgement that you lose the withdrawal right).","Exceptions: the right does not apply to certain goods and services listed in Art. 16 (e.g., custom-made goods, sealed hygiene items once unsealed, digital content whose performance has begun with your prior express consent and acknowledgement that you lose the withdrawal right)."
"The legal guarantee of conformity for goods applies under Art. 5 of Directive 2019/771, in addition to the right of withdrawal.","The legal guarantee of conformity for goods applies under Art. 5 of Directive 2019/771, in addition to the right of withdrawal."
"Delivery: %1","Delivery: %1"
"Total paid","Total paid"
"Pick an order to withdraw from","Pick an order to withdraw from"
"Select a recent order to start your withdrawal.","Select a recent order to start your withdrawal."
"Select","Select"
"Withdrawal progress","Withdrawal progress"
"title","title"
"subtitle","subtitle"
"Items to return","Items to return"
"0 items","0 items"
"Refund summary","Refund summary"
"No items in this order are currently eligible for withdrawal.","No items in this order are currently eligible for withdrawal."
"Each line is either already being processed, pending confirmation, or has been fully withdrawn. Check the existing requests section above for status or to cancel.","Each line is either already being processed, pending confirmation, or has been fully withdrawn. Check the existing requests section above for status or to cancel."
"No items selected yet. Use the + button next to an item to add it to your return.","No items selected yet. Use the + button next to an item to add it to your return."
"Find your order","Find your order"
"Enter the details you used during checkout to start a return or withdrawal.","Enter the details you used during checkout to start a return or withdrawal."
"We could not find an order matching that email. Double-check your order number and email address.","We could not find an order matching that email. Double-check your order number and email address."
"e.g. 12345","e.g. 12345"
"You can find this in your order confirmation email.","You can find this in your order confirmation email."
"Email address","Email address"
"you@example.com","you@example.com"
"Must match the email used for the order.","Must match the email used for the order."
"Find my order","Find my order"
"You have the right to withdraw from your purchase within 14 days of receiving your order, without giving any reason.","You have the right to withdraw from your purchase within 14 days of receiving your order, without giving any reason."
"Need help finding your order?","Need help finding your order?"
"Select an order","Select an order"
"Choose an order from your history to start a return or withdrawal.","Choose an order from your history to start a return or withdrawal."
"You don't have any orders eligible for withdrawal. The 14-day withdrawal window runs from the day you received your order.","You don't have any orders eligible for withdrawal. The 14-day withdrawal window runs from the day you received your order."
"View all my orders","View all my orders"
"items","items"
"Select order","Select order"
"No recent withdrawal","No recent withdrawal"
"We could not find a recent withdrawal in this session. If you have just submitted one, please check your inbox for the confirmation email.","We could not find a recent withdrawal in this session. If you have just submitted one, please check your inbox for the confirmation email."
"Start a new withdrawal","Start a new withdrawal"
"Withdrawal #%1 submitted","Withdrawal #%1 submitted"
"Related order:","Related order:"
"Items","Items"
"Items included in this withdrawal","Items included in this withdrawal"
"Line Total","Line Total"
"What happens next","What happens next"
"You will receive a receipt email with the full withdrawal statement and integrity hash within a few minutes.","You will receive a receipt email with the full withdrawal statement and integrity hash within a few minutes."
"The 14-day window under Art. 9 CRD is locked to the moment you confirmed the withdrawal — nothing further is required from you to preserve the right.","The 14-day window under Art. 9 CRD is locked to the moment you confirmed the withdrawal — nothing further is required from you to preserve the right."
"The final refund is determined after we receive the returned items (Art. 14(2)) and is issued to the original payment method. Expect the funds within 14 days of receipt.","The final refund is determined after we receive the returned items (Art. 14(2)) and is issued to the original payment method. Expect the funds within 14 days of receipt."
"Back to Withdrawals","Back to Withdrawals"
"Verzichtsbestätigung digitaler Inhalte — Bestellung %increment_id","Verzichtsbestätigung digitaler Inhalte — Bestellung %increment_id"
"Sehr geehrte/r %name,","Sehr geehrte/r %name,"
"Dies ist die Bestätigung auf einem dauerhaften Datenträger Ihrer ausdrücklichen Einwilligung zum Beginn der Ausführung folgender digitaler Inhalte sowie Ihrer Bestätigung, dass Sie dadurch Ihr Widerrufsrecht verlieren (Art. 16(m) VRL).","Dies ist die Bestätigung auf einem dauerhaften Datenträger Ihrer ausdrücklichen Einwilligung zum Beginn der Ausführung folgender digitaler Inhalte sowie Ihrer Bestätigung, dass Sie dadurch Ihr Widerrufsrecht verlieren (Art. 16(m) VRL)."
"Durch den Verzicht abgedeckte digitale Inhalte","Durch den Verzicht abgedeckte digitale Inhalte"
"Ihre ausdrückliche Einwilligung","Ihre ausdrückliche Einwilligung"
"Eingewilligt am:","Eingewilligt am:"
"Ihre Bestätigung zum Verlust des Widerrufsrechts","Ihre Bestätigung zum Verlust des Widerrufsrechts"
"Bestätigt am:","Bestätigt am:"
"Verzichtsreferenz:","Verzichtsreferenz:"
"Rechtsgrundlage: Art. 16(m) Verbraucherrechterichtlinie 2011/83/EU.","Rechtsgrundlage: Art. 16(m) Verbraucherrechterichtlinie 2011/83/EU."
"Digital content waiver confirmation — Order %1","Digital content waiver confirmation — Order %1"
"Dear %name,","Dear %name,"
"This is the durable-medium confirmation of your express consent to begin performance of the following digital items, and your acknowledgment that by doing so you lose your right of withdrawal (Art. 16(m) CRD).","This is the durable-medium confirmation of your express consent to begin performance of the following digital items, and your acknowledgment that by doing so you lose your right of withdrawal (Art. 16(m) CRD)."
"Digital items covered by this waiver","Digital items covered by this waiver"
"Your express consent","Your express consent"
"Consented at:","Consented at:"
"Your acknowledgment of loss of withdrawal right","Your acknowledgment of loss of withdrawal right"
"Acknowledged at:","Acknowledged at:"
"Waiver reference:","Waiver reference:"
"Legal basis: Art. 16(m) Consumer Rights Directive 2011/83/EU.","Legal basis: Art. 16(m) Consumer Rights Directive 2011/83/EU."
"Digitaalisen sisällön luopumisvahvistus — Tilaus %increment_id","Digitaalisen sisällön luopumisvahvistus — Tilaus %increment_id"
"Hyvä %name,","Hyvä %name,"
"Tämä on pysyvällä tietovälineellä annettu vahvistus nimenomaisesta suostumuksestasi aloittaa seuraavien digitaalisten sisältöjen toimitus sekä vahvistuksestasi, että menetät peruuttamisoikeutesi (KSL 6:16).","Tämä on pysyvällä tietovälineellä annettu vahvistus nimenomaisesta suostumuksestasi aloittaa seuraavien digitaalisten sisältöjen toimitus sekä vahvistuksestasi, että menetät peruuttamisoikeutesi (KSL 6:16)."
"Luopumisen kattamat digitaaliset sisällöt","Luopumisen kattamat digitaaliset sisällöt"
"Nimenomainen suostumuksesi","Nimenomainen suostumuksesi"
"Suostuttu:","Suostuttu:"
"Vahvistuksesi peruuttamisoikeuden menettämisestä","Vahvistuksesi peruuttamisoikeuden menettämisestä"
"Vahvistettu:","Vahvistettu:"
"Luopumisen viite:","Luopumisen viite:"
"Oikeusperusta: KSL 6:16 / Art. 16(m) kuluttajanoikeusdirektiivi 2011/83/EU.","Oikeusperusta: KSL 6:16 / Art. 16(m) kuluttajanoikeusdirektiivi 2011/83/EU."
"Confirmation de renonciation au contenu numérique — Commande %increment_id","Confirmation de renonciation au contenu numérique — Commande %increment_id"
"Cher/Chère %name,","Cher/Chère %name,"
"Ceci est la confirmation sur un support durable de votre consentement exprès à commencer l'exécution des contenus numériques suivants, et de votre reconnaissance que vous perdez ainsi votre droit de rétractation (Art. L. 221-28 Code consommation).","Ceci est la confirmation sur un support durable de votre consentement exprès à commencer l'exécution des contenus numériques suivants, et de votre reconnaissance que vous perdez ainsi votre droit de rétractation (Art. L. 221-28 Code consommation)."
"Contenus numériques couverts par la présente renonciation","Contenus numériques couverts par la présente renonciation"
"Votre consentement exprès","Votre consentement exprès"
"Consenti le :","Consenti le :"
"Votre reconnaissance de la perte du droit de rétractation","Votre reconnaissance de la perte du droit de rétractation"
"Reconnu le :","Reconnu le :"
"Référence de renonciation :","Référence de renonciation :"
"Base légale : Art. L. 221-28 Code consommation / Art. 16(m) Directive 2011/83/UE.","Base légale : Art. L. 221-28 Code consommation / Art. 16(m) Directive 2011/83/UE."
"Bevestiging afstand digitale inhoud — Bestelling %increment_id","Bevestiging afstand digitale inhoud — Bestelling %increment_id"
"Beste %name,","Beste %name,"
"Dit is de bevestiging op een duurzame gegevensdrager van uw uitdrukkelijke toestemming om te beginnen met de levering van de volgende digitale inhoud, en uw erkenning dat u daardoor uw herroepingsrecht verliest (Art. 6:230s BW).","Dit is de bevestiging op een duurzame gegevensdrager van uw uitdrukkelijke toestemming om te beginnen met de levering van de volgende digitale inhoud, en uw erkenning dat u daardoor uw herroepingsrecht verliest (Art. 6:230s BW)."
"Onder deze afstand vallende digitale items","Onder deze afstand vallende digitale items"
"Uw uitdrukkelijke toestemming","Uw uitdrukkelijke toestemming"
"Toestemming verleend op:","Toestemming verleend op:"
"Uw erkenning van verlies van herroepingsrecht","Uw erkenning van verlies van herroepingsrecht"
"Erkend op:","Erkend op:"
"Afstandreferentie:","Afstandreferentie:"
"Rechtsgrondslag: Art. 6:230s BW / Art. 16(m) Richtlijn 2011/83/EU.","Rechtsgrondslag: Art. 6:230s BW / Art. 16(m) Richtlijn 2011/83/EU."
"[EU Withdrawal] Receipt send failed — request #%request_id","[EU Withdrawal] Receipt send failed — request #%request_id"
"The receipt email for withdrawal request #%request_id has failed to send permanently.","The receipt email for withdrawal request #%request_id has failed to send permanently."
"Inspect the <code>mm_eu_withdrawal_request.receipt_last_error</code> column for the last error message, and the <code>mm_eu_withdrawal_request.receipt_send_attempts</code> column for the retry count.","Inspect the <code>mm_eu_withdrawal_request.receipt_last_error</code> column for the last error message, and the <code>mm_eu_withdrawal_request.receipt_send_attempts</code> column for the retry count."
"You can requeue the send from the admin grid after resolving the underlying issue.","You can requeue the send from the admin grid after resolving the underlying issue."
"Your refund is on its way — Withdrawal #%1","Your refund is on its way — Withdrawal #%1"
"Your refund is on its way","Your refund is on its way"
"Hi %name, we've approved your withdrawal request and started the refund process.","Hi %name, we've approved your withdrawal request and started the refund process."
"View refund details","View refund details"
"Withdrawal number","Withdrawal number"
"Approved on","Approved on"
"Estimated arrival","Estimated arrival"
"Status","Status"
"Your refund will be issued to your original payment method within 5–7 business days. You'll see it on your card or bank statement once it lands.","Your refund will be issued to your original payment method within 5–7 business days. You'll see it on your card or bank statement once it lands."
"Need help?","Need help?"
"Reply to this email or contact us at","Reply to this email or contact us at"
"Your withdrawal was cancelled — Withdrawal #%1","Your withdrawal was cancelled — Withdrawal #%1"
"Your withdrawal was cancelled","Your withdrawal was cancelled"
"Hi %name, we've cancelled your withdrawal request.","Hi %name, we've cancelled your withdrawal request."
"Submit a new request","Submit a new request"
"Cancelled request","Cancelled request"
"Cancelled on","Cancelled on"
"Refund requested","Refund requested"
"If this was unexpected, you can submit a new withdrawal request as long as your 14-day window is still open. Reach out if you need help — we're happy to clarify.","If this was unexpected, you can submit a new withdrawal request as long as your 14-day window is still open. Reach out if you need help — we're happy to clarify."
"Cancellation confirmed — Withdrawal #%1","Cancellation confirmed — Withdrawal #%1"
"Cancellation confirmed","Cancellation confirmed"
"Hi %name, your withdrawal request has been cancelled as you asked.","Hi %name, your withdrawal request has been cancelled as you asked."
"Back to my orders","Back to my orders"
"Cancelled by","Cancelled by"
"You","You"
"Your order remains active and there's no further action needed. If you change your mind, you can start a new withdrawal request any time within your 14-day window.","Your order remains active and there's no further action needed. If you change your mind, you can start a new withdrawal request any time within your 14-day window."
"Update on your withdrawal request — Withdrawal #%1","Update on your withdrawal request — Withdrawal #%1"
"We can't process this withdrawal","We can't process this withdrawal"
"Hi %name, after reviewing your withdrawal request we're unable to approve it.","Hi %name, after reviewing your withdrawal request we're unable to approve it."
"Request details","Request details"
"Reviewed on","Reviewed on"
"Decision","Decision"
"Reason from our team","Reason from our team"
