"View Credit Memo","Gutschrift anzeigen"
"This order contains a perishable item that cannot be returned (food with short shelf life, fresh flowers, etc.).","Diese Bestellung enthält einen verderblichen Artikel, der nicht zurückgegeben werden kann (Lebensmittel mit kurzer Haltbarkeit, frische Blumen usw.)."
"This order contains a custom-made or personalised item that cannot be returned.","Diese Bestellung enthält einen maßgefertigten oder personalisierten Artikel, der nicht zurückgegeben werden kann."
"This order contains a sealed hygiene item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","Diese Bestellung enthält einen versiegelten Hygieneartikel. Das Widerrufsrecht bleibt nur bei intaktem Siegel bestehen — nach Öffnung des Siegels nach Lieferung erlischt das Recht."
"This order contains a sealed audio / video / software item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","Diese Bestellung enthält einen versiegelten Audio-/Video-/Software-Artikel. Das Widerrufsrecht bleibt nur bei intaktem Siegel bestehen — nach Öffnung des Siegels nach Lieferung erlischt das Recht."
"This order contains digital content. Once you start using or downloading the content, you lose the right of withdrawal (you consented to this at checkout).","Diese Bestellung enthält digitale Inhalte. Sobald Sie mit der Nutzung oder dem Herunterladen beginnen, erlischt das Widerrufsrecht (dem haben Sie an der Kasse zugestimmt)."
"%1 item(s) · Refund %2","%1 Artikel · Erstattung %2"
"Awaiting confirmation","Wartet auf Bestätigung"
"Cancel withdrawal %1? Your refund will not be processed.","Widerruf %1 stornieren? Ihre Erstattung wird nicht verarbeitet."
"Submitted","Eingereicht"
"Approved","Genehmigt"
"Fully returned","Vollständig zurückgegeben"
"Return requested","Rückgabe angefordert"
"Not eligible","Nicht berechtigt"
"Partially requested","Teilweise angefordert"
"— Select a reason —","— Grund auswählen —"
"Other","Sonstiges"
"The refund will be issued using your original payment method within 5-7 business days after we receive your return.","Die Erstattung erfolgt auf Ihre ursprüngliche Zahlungsmethode innerhalb von 5–7 Werktagen nach Eingang Ihrer Rücksendung."
"Withdrawal right lost (Art. 16(m) CRD) — digital performance started on %1.","Widerrufsrecht erloschen (Art. 16(m) VRRL) — Leistungserbringung digitaler Inhalte begann am %1."
"Request #%1 not found.","Antrag #%1 nicht gefunden."
"Receipt email re-queued for request #%1. Delivery will retry asynchronously.","Beleg-E-Mail für Antrag #%1 erneut in die Warteschlange gestellt. Zustellung erfolgt asynchron."
"Failed to queue receipt resend: %1","Fehler beim erneuten Senden des Belegs: %1"
"Note text is empty.","Notiztext ist leer."
"Note added to request #%1.","Notiz zu Antrag #%1 hinzugefügt."
"Request #%1 approved.","Antrag #%1 genehmigt."
"Request #%1 cancelled.","Antrag #%1 storniert."
"Request #%1 denied.","Antrag #%1 abgelehnt."
"Invalid request id.","Ungültige Antrags-ID."
"Unable to open temporary file for CSV export.","Temporäre Datei für den CSV-Export konnte nicht geöffnet werden."
"Withdrawal Requests","Widerrufsanträge"
"%1 requests queued for acceptance.","%1 Anträge zur Annahme in der Warteschlange."
"%1 request(s) approved.","%1 Antrag/Anträge genehmigt."
"%1 request(s) failed. First errors: %2","%1 Antrag/Anträge fehlgeschlagen. Erste Fehler: %2"
"Note added to %1 request(s).","Notiz zu %1 Antrag/Anträgen hinzugefügt."
"Underlying order #%1 not found.","Zugehörige Bestellung #%1 nicht gefunden."
"Order #%1 has no invoice yet — Magento requires an invoice before a credit memo can be created. Open an invoice first (Sales → Orders → #%1 → Invoice button), then return here to refund.","Für Bestellung #%1 liegt noch keine Rechnung vor — Magento benötigt eine Rechnung, bevor eine Gutschrift erstellt werden kann. Erstellen Sie zuerst eine Rechnung (Verkäufe → Bestellungen → #%1 → Schaltfläche „Rechnung“) und kehren Sie dann hierher zurück, um die Erstattung vorzunehmen."
"No items recorded on this withdrawal request — the credit memo will open with default invoice qtys; please adjust manually.","Für diesen Widerrufsantrag sind keine Artikel erfasst — die Gutschrift wird mit den Standardmengen der Rechnung geöffnet; bitte manuell anpassen."
"Pre-filled credit memo for withdrawal #%1 — review the qtys + shipping refund below, then click Refund Online or Refund Offline.","Vorausgefüllte Gutschrift für Widerruf #%1 — überprüfen Sie unten die Mengen und die Versanderstattung und klicken Sie dann auf „Online erstatten“ oder „Offline erstatten“."
"Some items are no longer eligible. Please reload and try again.","Einige Artikel sind nicht mehr widerrufbar. Bitte neu laden und erneut versuchen."
"We could not process your request. Please try again.","Wir konnten Ihren Antrag nicht verarbeiten. Bitte erneut versuchen."
"Item","Artikel"
"We could not find a matching order for that email.","Wir konnten keine passende Bestellung zu dieser E-Mail finden."
"Withdraw from a contract","Vertrag widerrufen"
"Withdrawal not found.","Widerruf nicht gefunden."
"This withdrawal can no longer be cancelled online. Contact us if you need help.","Dieser Widerruf kann online nicht mehr storniert werden. Kontaktieren Sie uns bei Fragen."
"Withdrawal #%1 cancelled.","Widerruf #%1 storniert."
"Please fill in all required fields.","Bitte füllen Sie alle Pflichtfelder aus."
"%1 item(s) were excluded from the withdrawal because the seal is broken (Art. 16(e)/(i) Directive 2011/83/EU).","%1 Artikel wurden vom Widerruf ausgeschlossen, da das Siegel gebrochen ist (Art. 16(e)/(i) Richtlinie 2011/83/EU)."
"Please select at least one item to withdraw.","Bitte mindestens einen Artikel zum Widerruf auswählen."
"One or more items are no longer available for withdrawal. Please refresh and try again.","Ein oder mehrere Artikel sind nicht mehr widerrufbar. Bitte aktualisieren und erneut versuchen."
"None of the selected items are eligible for withdrawal.","Keiner der ausgewählten Artikel ist widerrufbar."
"Hash mismatch for quote item %1","Hash stimmt nicht überein für Warenkorbposition %1"
"Requested qty %1 exceeds remaining %2 for order item %3","Angeforderte Menge %1 überschreitet die verbleibende %2 für Bestellposition %3"
"No delivery confirmation recorded for this order yet.","Für diese Bestellung wurde noch keine Lieferbestätigung erfasst."
"No eligible items selected for withdrawal","Keine widerrufbaren Artikel ausgewählt"
"Physical goods","Physische Waren"
"Digital content (non-tangible)","Digitale Inhalte (unkörperlich)"
"Digital service (SaaS / subscription)","Digitaler Dienst (SaaS / Abonnement)"
"Financial services (Enterprise tier)","Finanzdienstleistungen (Enterprise-Stufe)"
"Downloadable products","Downloadbare Produkte"
"Virtual products","Virtuelle Produkte"
"Bundles containing digital children","Bundles mit digitalen Bestandteilen"
"Custom attribute flag","Benutzerdefiniertes Attribut-Flag"
"locale_inheritance.xml missing at %1","locale_inheritance.xml fehlt unter %1"
"locale_inheritance.xml unreadable at %1","locale_inheritance.xml unter %1 nicht lesbar"
"locale_inheritance.xml failed XSD validation: %1","locale_inheritance.xml hat die XSD-Validierung nicht bestanden: %1"
"Original payment method","Ursprüngliche Zahlungsmethode"
"This is your durable-medium receipt for the withdrawal (Art. 11a(4) Directive 2011/83/EU).","Dies ist Ihr Beleg auf einem dauerhaften Datenträger für den Widerruf (Art. 11a(4) Richtlinie 2011/83/EU)."
"This email is a notification about your withdrawal request.","Diese E-Mail ist eine Benachrichtigung zu Ihrem Widerrufsantrag."
"5–7 business days","5–7 Werktage"
"This is a confirmation that your withdrawal request has been recorded.","Dies ist eine Bestätigung, dass Ihr Widerrufsantrag erfasst wurde."
"MageMe EU Withdrawal is installed but not enabled. Review the compliance checklist and configure the module before enabling: <a href=""%1"">Stores → Configuration → MageMe Extensions → EU Withdrawal</a>.","MageMe EU Withdrawal ist installiert, aber nicht aktiviert. Prüfen Sie die Compliance-Checkliste und konfigurieren Sie das Modul vor der Aktivierung: <a href=""%1"">Stores → Konfiguration → MageMe-Erweiterungen → EU-Widerruf</a>."
"Delivery confirmation status is not configured. Set Stores → Configuration → MageMe Extensions → EU Withdrawal → Withdrawal Period → Delivery Confirmation Statuses.","Der Status der Lieferbestätigung ist nicht konfiguriert. Konfigurieren Sie ihn unter Stores → Konfiguration → MageMe-Erweiterungen → EU-Widerruf → Widerrufsfrist → Status der Lieferbestätigung."
"No Annex I source found for locale %1 along chain %2","Keine Anhang-I-Quelle für Sprache %1 entlang der Kette %2 gefunden"
"Annex I source for locale %1 is malformed","Anhang-I-Quelle für Sprache %1 ist fehlerhaft"
"Missing merchant variables for Annex I rendering: %1","Fehlende Händler-Variablen für die Anhang-I-Darstellung: %1"
"Receipt hash mismatch for request %1","Beleg-Hash stimmt nicht überein für Antrag %1"
"Request %1 not found.","Antrag %1 nicht gefunden."
"Denying a withdrawal request requires a legal basis of at least 10 characters.","Die Ablehnung eines Widerrufsantrags erfordert eine Rechtsgrundlage von mindestens 10 Zeichen."
"Withdrawal request cannot transition from ""%1"" to ""%2"".","Widerrufsantrag kann nicht von ""%1"" auf ""%2"" übergehen."
"Request %1 is not in pending_confirm state.","Antrag %1 ist nicht im Zustand pending_confirm."
"Withdrawal request #%1 does not exist.","Widerrufsantrag #%1 existiert nicht."
"No digital items on order %1","Keine digitalen Artikel in Bestellung %1"
"This is your durable-medium copy of the waiver you signed at checkout (Art. 11a(4) Directive 2011/83/EU).","Dies ist Ihre Kopie auf einem dauerhaften Datenträger der Verzichtserklärung, die Sie an der Kasse unterzeichnet haben (Art. 11a(4) Richtlinie 2011/83/EU)."
"Waived","Verzichtet"
"Waiver email render failed: %1","Erstellung der Verzichts-E-Mail fehlgeschlagen: %1"
"Digital content waiver text has changed — please reload checkout.","Der Verzichtstext zu digitalen Inhalten hat sich geändert — bitte laden Sie den Checkout neu."
"Digital content waiver is incomplete for item %1.","Der Verzicht auf digitale Inhalte ist für Artikel %1 unvollständig."
"bad","bad"
"smtp down","smtp down"
"smtp","smtp"
"down","down"
"No shipment found for order 42.","Keine Sendung für Bestellung 42 gefunden."
"View","Ansicht"
"Withdrawal & Customer Information","Widerrufs- & Kundeninformationen"
"Request # %1","Antrag # %1"
"Request Status","Antragsstatus"
"Submitted At","Eingereicht am"
"Confirmed At","Bestätigt am"
"Related Order","Zugehörige Bestellung"
"Jurisdiction","Gerichtsbarkeit"
"Contract Type","Vertragsart"
"Receipt Status","Belegstatus"
"%1 attempt(s)","%1 Versuch(e)"
"Receipt Error","Belegfehler"
"Customer Information","Kundeninformationen"
"Customer Name","Kundenname"
"Email","E-Mail"
"Locale","Sprache"
"Items Selected for Withdrawal","Zum Widerruf ausgewählte Artikel"
"Product","Produkt"
"Price","Preis"
"Qty","Menge"
"Subtotal","Zwischensumme"
"Refund","Erstattung"
"Reason","Grund"
"Eligibility","Widerrufsberechtigung"
"No items associated with this request.","Keine Artikel diesem Antrag zugeordnet."
"SKU","SKU"
"Ordered","Bestellt"
"Withdrawing","Wird widerrufen"
"Refund Total","Erstattungssumme"
"Notes for this Request","Notizen zu diesem Antrag"
"Internal notes — visible to admin staff only. Not sent to the customer.","Interne Notizen — nur für Administratoren sichtbar. Nicht an den Kunden gesendet."
"Comment","Kommentar"
"Add internal note (max 2000 chars)","Interne Notiz hinzufügen (max. 2000 Zeichen)"
"Submit Comment","Kommentar absenden"
"No comments added yet.","Noch keine Kommentare hinzugefügt."
" by %1"," von %1"
"Refund Totals","Erstattungssummen"
"Items Subtotal","Artikel-Zwischensumme"
"Shipping Refund","Versanderstattung"
"Total Refund","Gesamterstattung"
"Changes have been made to this section that have not been saved.","An diesem Abschnitt wurden ungespeicherte Änderungen vorgenommen."
"This tab contains invalid data. Please resolve this before saving.","Dieser Tab enthält ungültige Daten. Bitte vor dem Speichern beheben."
"Contact us","Kontakt"
"Returns","Rückgaben"
"FAQs","FAQ"
"All rights reserved.","Alle Rechte vorbehalten."
"Returned items","Zurückgegebene Artikel"
"No image","Kein Bild"
"Item status","Artikelstatus"
"Withdrawal options for this order","Widerrufsoptionen für diese Bestellung"
"You can return this order until %1.","Sie können diese Bestellung bis %1 zurückgeben."
"(Art. 11a Directive 2011/83/EU)","(Art. 11a Richtlinie 2011/83/EU)"
"Submit a withdrawal request to start the refund process.","Senden Sie einen Widerrufsantrag, um den Erstattungsprozess zu starten."
"(Art. 9(2)(b) Directive 2011/83/EU)","(Art. 9(2)(b) Richtlinie 2011/83/EU)"
"Start withdrawal","Widerruf starten"
"Your withdrawal requests","Ihre Widerrufsanträge"
"Submitted %1","Eingereicht %1"
"Show items","Artikel anzeigen"
"Cancel withdrawal","Widerruf stornieren"
"Qty %1","Menge %1"
"Receipt details","Belegdetails"
"Receipt number","Belegnummer"
"Order number","Bestellnummer"
"Confirmed","Bestätigt"
"Consumer","Verbraucher"
"Refund total","Erstattungssumme"
"Merchant","Händler"
"Legal basis","Rechtsgrundlage"
"SKU %1","SKU %1"
"Shipping refund","Versanderstattung"
"Tax refund","Steuererstattung"
"Total refund","Gesamterstattung"
"Digital content — Art. 16(m) notice","Digitale Inhalte — Hinweis nach Art. 16(m)"
"By placing the order you agreed to begin performance of the digital content before the end of the withdrawal period and acknowledged that, once performance has begun, the right of withdrawal no longer applies. This notice is shown for your records.","Mit der Aufgabe der Bestellung haben Sie zugestimmt, dass die Ausführung der digitalen Inhalte vor Ablauf der Widerrufsfrist beginnt, und bestätigt, dass nach Beginn der Ausführung das Widerrufsrecht erlischt. Dieser Hinweis dient Ihrer Dokumentation."
"Existing withdrawals for this order","Bestehende Widerrufe für diese Bestellung"
"You can cancel a withdrawal here until it is approved.","Sie können einen Widerruf hier stornieren, bis er genehmigt wurde."
"Request #%1","Antrag #%1"
"SKU: %1","SKU: %1"
"Estimated refund: %1 %2","Geschätzte Erstattung: %1 %2"
"Cancel this withdrawal","Diesen Widerruf stornieren"
"Are you sure? This cannot be undone.","Sind Sie sicher? Dies kann nicht rückgängig gemacht werden."
"Yes, cancel","Ja, stornieren"
"Keep it","Beibehalten"
"That order does not belong to your account. Please select one of your own orders.","Diese Bestellung gehört nicht zu Ihrem Konto. Bitte wählen Sie eine Ihrer eigenen Bestellungen."
"Select items to return","Artikel zur Rückgabe auswählen"
"Choose all items or only some of them. Set the return quantity for each item you want to withdraw.","Wählen Sie alle oder nur einzelne Artikel aus. Legen Sie die Rückgabemenge für jeden Artikel fest, den Sie widerrufen möchten."
"You have 14 days from the day you received your order to withdraw from the contract without giving a reason.","Sie haben ab dem Erhalt Ihrer Bestellung 14 Tage Zeit, um den Vertrag ohne Angabe von Gründen zu widerrufen."
"Back to order search","Zurück zur Bestellsuche"
"Cancel","Abbrechen"
"Continue to review","Weiter zur Überprüfung"
"Review and confirm","Überprüfen und bestätigen"
"Order #%1","Bestellung #%1"
"Placed on %1","Bestellt am %1"
"Awaiting delivery","Wartet auf Lieferung"
"Delivered on %1","Geliefert am %1"
"Total","Gesamt"
"Return shipping","Rückversand"
"View return policy","Rückgaberichtlinie ansehen"
"Refund method","Erstattungsmethode"
"Refund will be issued to your original payment method.","Die Erstattung erfolgt auf Ihre ursprüngliche Zahlungsmethode."
"Return summary","Widerrufsübersicht"
"Shipping & Handling","Versand & Bearbeitung"
"Tax","Steuer"
"Back to items","Zurück zu den Artikeln"
"Submit return request","Rückgabeantrag absenden"
"Your return request has been submitted!","Ihr Rückgabeantrag wurde übermittelt!"
"We've emailed you a notification with your return details and a prepaid return label (if applicable). You have 14 days from the delivery date to send your items back.","Wir haben Ihnen eine Benachrichtigung mit Ihren Rückgabedetails und ggf. einem frankierten Rücksendeetikett per E-Mail gesendet. Sie haben 14 Tage ab Lieferdatum, um Ihre Artikel zurückzusenden."
"Return request number","Rückgabe-Antragsnummer"
"Copy request number","Antragsnummer kopieren"
"Copied!","Kopiert!"
"Confirmation email sent","Bestätigungs-E-Mail gesendet"
"We've sent the details to","Wir haben die Details gesendet an"
"What happens next?","Wie geht es weiter?"
"Pack your items securely","Verpacken Sie Ihre Artikel sicher"
"Send them back using the provided instructions","Senden Sie sie gemäß den bereitgestellten Anweisungen zurück"
"We'll inspect your return","Wir prüfen Ihre Rücksendung"
"Your refund will be issued to your original payment method","Ihre Erstattung erfolgt auf Ihre ursprüngliche Zahlungsmethode"
"Need more help?","Weitere Hilfe benötigt?"
"View my returns","Meine Widerrufe ansehen"
"Contact support","Support kontaktieren"
"Purchased","Gekauft"
"Returned","Zurückgegeben"
"Decrease quantity","Menge verringern"
"Increase quantity","Menge erhöhen"
"Has the hygiene seal been broken after delivery?","Wurde das Hygiene-Siegel nach der Lieferung gebrochen?"
"Has the original software / media seal been broken after delivery?","Wurde das Original-Software-/Medien-Siegel nach der Lieferung gebrochen?"
"No, the seal is intact","Nein, das Siegel ist intakt"
"Refund possible — return the unopened package.","Erstattung möglich — senden Sie das ungeöffnete Paket zurück."
"Yes, the seal is broken","Ja, das Siegel ist gebrochen"
"This item cannot be returned (Art. 16(e) Directive 2011/83/EU).","Dieser Artikel kann nicht zurückgegeben werden (Art. 16(e) Richtlinie 2011/83/EU)."
"This item cannot be returned (Art. 16(i) Directive 2011/83/EU).","Dieser Artikel kann nicht zurückgegeben werden (Art. 16(i) Richtlinie 2011/83/EU)."
"Once you confirm the seal is broken, this item is excluded from the withdrawal request and the quantity will be reset to zero.","Sobald Sie bestätigen, dass das Siegel gebrochen ist, wird dieser Artikel vom Widerrufsantrag ausgeschlossen und die Menge auf null zurückgesetzt."
"Reason for return (optional)","Rückgabegrund (optional)"
"Tell us more (optional, max 500 chars)","Mehr erzählen (optional, max. 500 Zeichen)"
"Already returned.","Bereits zurückgegeben."
"awaiting admin review","wartet auf Admin-Prüfung"
"awaiting confirmation","wartet auf Bestätigung"
"Request %1 %2 (%3 item%4).","Antrag %1 %2 (%3 Artikel%4)."
"Return request awaiting review.","Rückgabeantrag wartet auf Prüfung."
"Cancel request","Antrag stornieren"
"Under EU consumer law, you may withdraw from most contracts within 14 days without giving a reason.","Nach EU-Verbraucherrecht können Sie von den meisten Verträgen innerhalb von 14 Tagen ohne Angabe von Gründen widerrufen."
"Read your full pre-contract rights (Art. 6)","Vollständige vorvertragliche Rechte lesen (Art. 6)"
"Under Art. 6 of Directive 2011/83/EU (as amended by Directive (EU) 2023/2673), before you placed this order the seller informed you — or made available — the following information:","Gemäß Art. 6 Richtlinie 2011/83/EU (in der Fassung der Richtlinie (EU) 2023/2673) hat Sie der Verkäufer vor Aufgabe dieser Bestellung über die folgenden Informationen unterrichtet — oder Ihnen zur Verfügung gestellt:"
"The main characteristics of the goods or services.","Die wesentlichen Merkmale der Waren oder Dienstleistungen."
"The identity and contact details of the trader.","Identität und Kontaktdaten des Unternehmers."
"The total price including all taxes and any delivery costs.","Der Gesamtpreis einschließlich aller Steuern und etwaiger Lieferkosten."
"The arrangements for payment, delivery and performance, and complaint-handling.","Die Bedingungen für Zahlung, Lieferung und Leistung sowie Beschwerdebehandlung."
"Your right of withdrawal: under Art. 9 you have 14 days to withdraw from this distance contract without giving a reason. For physical goods, the 14-day period starts on the day you (or a third party nominated by you) take physical possession of the goods. For services and digital content, different starting dates apply (Art. 9(2)(a)/(c)).","Ihr Widerrufsrecht: Nach Art. 9 haben Sie 14 Tage Zeit, diesen Fernabsatzvertrag ohne Angabe von Gründen zu widerrufen. Bei physischen Waren beginnt die 14-tägige Frist an dem Tag, an dem Sie (oder ein von Ihnen benannter Dritter) die Waren in Besitz nehmen. Für Dienstleistungen und digitale Inhalte gelten abweichende Beginn-Zeitpunkte (Art. 9(2)(a)/(c))."
"Exceptions: the right does not apply to certain goods and services listed in Art. 16 (e.g., custom-made goods, sealed hygiene items once unsealed, digital content whose performance has begun with your prior express consent and acknowledgement that you lose the withdrawal right).","Ausnahmen: Das Recht gilt nicht für bestimmte in Art. 16 aufgeführte Waren und Dienstleistungen (z. B. maßgefertigte Waren, versiegelte Hygieneartikel nach Öffnung des Siegels, digitale Inhalte, deren Ausführung mit Ihrer vorherigen ausdrücklichen Zustimmung und in Kenntnis des Verlusts des Widerrufsrechts begonnen hat)."
"The legal guarantee of conformity for goods applies under Art. 5 of Directive 2019/771, in addition to the right of withdrawal.","Zusätzlich zum Widerrufsrecht gilt die gesetzliche Mängelgewährleistung für Waren gemäß Art. 5 Richtlinie 2019/771."
"Delivery: %1","Lieferung: %1"
"Total paid","Gezahlter Betrag"
"Pick an order to withdraw from","Wählen Sie eine zu widerrufende Bestellung"
"Select a recent order to start your withdrawal.","Wählen Sie eine kürzliche Bestellung, um Ihren Widerruf zu starten."
"Select","Auswählen"
"Withdrawal progress","Widerrufsfortschritt"
"title","Titel"
"subtitle","Untertitel"
"Items to return","Zurückzugebende Artikel"
"0 items","0 Artikel"
"Refund summary","Erstattungsübersicht"
"No items in this order are currently eligible for withdrawal.","Keine Artikel in dieser Bestellung sind derzeit widerrufbar."
"Each line is either already being processed, pending confirmation, or has been fully withdrawn. Check the existing requests section above for status or to cancel.","Jede Zeile wird entweder bereits bearbeitet, wartet auf Bestätigung oder wurde vollständig widerrufen. Status- und Stornierungsmöglichkeiten finden Sie im Abschnitt „Bestehende Anträge“ oben."
"No items selected yet. Use the + button next to an item to add it to your return.","Noch keine Artikel ausgewählt. Verwenden Sie die Schaltfläche + neben einem Artikel, um ihn zur Rückgabe hinzuzufügen."
"Find your order","Bestellung finden"
"Enter the details you used during checkout to start a return or withdrawal.","Geben Sie die Daten ein, die Sie beim Bezahlen verwendet haben, um eine Rückgabe oder einen Widerruf zu starten."
"We could not find an order matching that email. Double-check your order number and email address.","Wir konnten keine Bestellung zu dieser E-Mail finden. Bitte prüfen Sie Bestellnummer und E-Mail-Adresse."
"e.g. 12345","z. B. 12345"
"You can find this in your order confirmation email.","Sie finden dies in Ihrer Bestellbestätigungs-E-Mail."
"Email address","E-Mail-Adresse"
"you@example.com","you@example.com"
"Must match the email used for the order.","Muss mit der für die Bestellung verwendeten E-Mail übereinstimmen."
"Find my order","Meine Bestellung finden"
"You have the right to withdraw from your purchase within 14 days of receiving your order, without giving any reason.","Sie haben das Recht, innerhalb von 14 Tagen nach Erhalt Ihrer Bestellung ohne Angabe von Gründen vom Kauf zurückzutreten."
"Need help finding your order?","Benötigen Sie Hilfe beim Finden Ihrer Bestellung?"
"Select an order","Bestellung auswählen"
"Choose an order from your history to start a return or withdrawal.","Wählen Sie eine Bestellung aus Ihrer Historie, um eine Rückgabe oder einen Widerruf zu starten."
"You don't have any orders eligible for withdrawal. The 14-day withdrawal window runs from the day you received your order.","Sie haben keine widerrufsberechtigten Bestellungen. Die 14-tägige Widerrufsfrist läuft ab Erhalt Ihrer Bestellung."
"View all my orders","Alle Bestellungen ansehen"
"items","Artikel"
"Select order","Bestellung auswählen"
"No recent withdrawal","Kein kürzlicher Widerruf"
"We could not find a recent withdrawal in this session. If you have just submitted one, please check your inbox for the confirmation email.","Wir konnten keinen kürzlichen Widerruf in dieser Sitzung finden. Wenn Sie gerade einen eingereicht haben, prüfen Sie bitte Ihren Posteingang auf die Bestätigungs-E-Mail."
"Start a new withdrawal","Neuen Widerruf starten"
"Withdrawal #%1 submitted","Widerruf #%1 eingereicht"
"Related order:","Zugehörige Bestellung:"
"Items","Artikel"
"Items included in this withdrawal","In diesem Widerruf enthaltene Artikel"
"Line Total","Zeilensumme"
"What happens next","Wie geht es weiter"
"You will receive a receipt email with the full withdrawal statement and integrity hash within a few minutes.","Sie erhalten innerhalb weniger Minuten eine Beleg-E-Mail mit der vollständigen Widerrufserklärung und dem Integritäts-Hash."
"The 14-day window under Art. 9 CRD is locked to the moment you confirmed the withdrawal — nothing further is required from you to preserve the right.","Die 14-tägige Frist gemäß Art. 9 CRD ist auf den Zeitpunkt Ihrer Widerrufsbestätigung festgelegt — weitere Schritte zur Wahrung des Rechts sind nicht erforderlich."
"The final refund is determined after we receive the returned items (Art. 14(2)) and is issued to the original payment method. Expect the funds within 14 days of receipt.","Die endgültige Erstattung wird nach Eingang der zurückgesandten Artikel (Art. 14(2)) festgelegt und auf die ursprüngliche Zahlungsmethode erstattet. Erwarten Sie den Betrag innerhalb von 14 Tagen nach Eingang."
"Back to Withdrawals","Zurück zu Widerrufen"
"Verzichtsbestätigung digitaler Inhalte — Bestellung %increment_id","Verzichtsbestätigung digitaler Inhalte — Bestellung %increment_id"
"Sehr geehrte/r %name,","Sehr geehrte/r %name,"
"Dies ist die Bestätigung auf einem dauerhaften Datenträger Ihrer ausdrücklichen Einwilligung zum Beginn der Ausführung folgender digitaler Inhalte sowie Ihrer Bestätigung, dass Sie dadurch Ihr Widerrufsrecht verlieren (Art. 16(m) VRL).","Dies ist die Bestätigung auf einem dauerhaften Datenträger Ihrer ausdrücklichen Einwilligung zum Beginn der Ausführung folgender digitaler Inhalte sowie Ihrer Bestätigung, dass Sie dadurch Ihr Widerrufsrecht verlieren (Art. 16(m) VRL)."
"Durch den Verzicht abgedeckte digitale Inhalte","Durch den Verzicht abgedeckte digitale Inhalte"
"Ihre ausdrückliche Einwilligung","Ihre ausdrückliche Einwilligung"
"Eingewilligt am:","Eingewilligt am:"
"Ihre Bestätigung zum Verlust des Widerrufsrechts","Ihre Bestätigung zum Verlust des Widerrufsrechts"
"Bestätigt am:","Bestätigt am:"
"Verzichtsreferenz:","Verzichtsreferenz:"
"Rechtsgrundlage: Art. 16(m) Verbraucherrechterichtlinie 2011/83/EU.","Rechtsgrundlage: Art. 16(m) Verbraucherrechterichtlinie 2011/83/EU."
"Digital content waiver confirmation — Order %1","Bestätigung der Verzichtserklärung zu digitalen Inhalten — Bestellung %1"
"Dear %name,","Sehr geehrte/r %name,"
